Year,Series,Ministry,Department,Unit,Value
2023,Original Budget,Ministry of Health,Department of Health,Millions in Vatu (VUV),595
2023,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,Millions in Vatu (VUV),2983
2023,Original Budget,Ministry of Internal Affairs,Civil Registry Office,Millions in Vatu (VUV),59
2023,Original Budget,Ministry of Internal Affairs,Department of Labour,Millions in Vatu (VUV),13
2023,Original Budget,Ministry of Internal Affairs,Department of Urban Affairs and Planning,Millions in Vatu (VUV),89
2023,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,Millions in Vatu (VUV),14
2023,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,Millions in Vatu (VUV),342
2023,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,Millions in Vatu (VUV),441
2023,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,Millions in Vatu (VUV),9
2023,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Millions in Vatu (VUV),127
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Womens Affairs,Millions in Vatu (VUV),20
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Youth and Sport,Millions in Vatu (VUV),9
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Ministry of Justice & Social Welfare Corporate Service Unit,Millions in Vatu (VUV),4
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Prime Ministers Ministry,Millions in Vatu (VUV),2475
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Communications and Digital Transformation,Millions in Vatu (VUV),1
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Strategic Policy Cordination & Corporate Services,Millions in Vatu (VUV),85
2023,Original Budget,"Ministry of Youth, Justice and Community Services",PMO Corporate Service Unit,Millions in Vatu (VUV),837
2023,Original Budget,"Ministry of Youth, Justice and Community Services",Vanuatu Project Management Unit,Millions in Vatu (VUV),1552
2024,Original Budget,Constitutional Agencies,Electoral Office,Millions in Vatu (VUV),20
2024,Original Budget,Constitutional Agencies,Judiciary,Millions in Vatu (VUV),14
2024,Original Budget,Constitutional Agencies,Public Service Commission,Millions in Vatu (VUV),1
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Agriculture,Millions in Vatu (VUV),41
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Biosecurity,Millions in Vatu (VUV),7
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Department of Forestry,Millions in Vatu (VUV),-1
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",Livestock,Millions in Vatu (VUV),1
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",MALFFB Coporate Services,Millions in Vatu (VUV),5
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,Millions in Vatu (VUV),404
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,Millions in Vatu (VUV),35
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,Millions in Vatu (VUV),26
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,Millions in Vatu (VUV),325
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,Millions in Vatu (VUV),2
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,Millions in Vatu (VUV),84
2024,Original Budget,Ministry of Education & Training,Education Service Directorate,Millions in Vatu (VUV),316
2024,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,Millions in Vatu (VUV),-10
2024,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,Millions in Vatu (VUV),13
2024,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Millions in Vatu (VUV),-3
2024,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Millions in Vatu (VUV),29
2024,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Millions in Vatu (VUV),-31
2024,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,Millions in Vatu (VUV),36
2024,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",Department of Fisheries,Millions in Vatu (VUV),35
2024,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",Vanuatu Maritime Safety Authority,Millions in Vatu (VUV),3
2024,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,Millions in Vatu (VUV),0
2024,Original Budget,Ministry of Health,Department of Health,Millions in Vatu (VUV),345
2024,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,Millions in Vatu (VUV),4266
2024,Original Budget,Ministry of Internal Affairs,Civil Registry Office,Millions in Vatu (VUV),3
2024,Original Budget,Ministry of Internal Affairs,Department of Labour,Millions in Vatu (VUV),7
2024,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,Millions in Vatu (VUV),35
2024,Original Budget,Ministry of Internal Affairs,Department of Urban Affairs and Planning,Millions in Vatu (VUV),285
2024,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,Millions in Vatu (VUV),19
2024,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,Millions in Vatu (VUV),26
2024,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,Millions in Vatu (VUV),197
2024,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,Millions in Vatu (VUV),170
2024,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,Millions in Vatu (VUV),7
2024,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Millions in Vatu (VUV),9
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Correctional Services,Millions in Vatu (VUV),4
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Womens Affairs,Millions in Vatu (VUV),34
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Youth and Sport,Millions in Vatu (VUV),9
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Ministry of Justice & Social Welfare Corporate Service Unit,Millions in Vatu (VUV),9
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Prime Ministers Ministry,Millions in Vatu (VUV),665
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Department of Communications and Digital Transformation,Millions in Vatu (VUV),0
2024,Original Budget,"Ministry of Youth, Justice and Community Services",Vanuatu Project Management Unit,Millions in Vatu (VUV),665
2004,Actual Spent,,,Millions in Vatu (VUV),404
2005,Actual Spent,,,Millions in Vatu (VUV),457
2006,Actual Spent,,,Millions in Vatu (VUV),727
2007,Actual Spent,,,Millions in Vatu (VUV),932
2008,Actual Spent,,,Millions in Vatu (VUV),3382
2009,Actual Spent,,,Millions in Vatu (VUV),3877
2010,Actual Spent,,,Millions in Vatu (VUV),4394
2011,Actual Spent,,,Millions in Vatu (VUV),2983
2012,Actual Spent,,,Millions in Vatu (VUV),2738
2013,Actual Spent,,,Millions in Vatu (VUV),2253
2014,Actual Spent,,,Millions in Vatu (VUV),2387
2015,Actual Spent,,,Millions in Vatu (VUV),12149
2016,Actual Spent,,,Millions in Vatu (VUV),11558
2017,Actual Spent,,,Millions in Vatu (VUV),12487
2018,Actual Spent,,,Millions in Vatu (VUV),11276
2019,Actual Spent,,,Millions in Vatu (VUV),13181
2020,Actual Spent,,,Millions in Vatu (VUV),8193
2021,Actual Spent,,,Millions in Vatu (VUV),10400
2022,Actual Spent,,,Millions in Vatu (VUV),10250
2023,Actual Spent,,,Millions in Vatu (VUV),8435
2024,Actual Spent,,,Millions in Vatu (VUV),10592
2004,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),5
2004,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),52
2004,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),18
2004,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),73
2004,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),79
2004,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),24
2004,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),37
2004,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),28
2004,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),42
2004,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),17
2004,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),14
2004,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),7
2004,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),8
2005,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),8
2005,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),43
2005,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),45
2005,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),79
2005,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),109
2005,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),10
2005,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),63
2005,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1
2005,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),55
2005,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),11
2005,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),23
2005,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),3
2005,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),4
2005,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),1
2006,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),15
2006,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),53
2006,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),35
2006,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),142
2006,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),268
2006,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),6
2006,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),64
2006,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),4
2006,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),64
2006,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),49
2006,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),14
2006,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),3
2006,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),1
2006,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),8
2007,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),39
2007,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),34
2007,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),87
2007,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),101
2007,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),180
2007,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),9
2007,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),134
2007,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),148
2007,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),92
2007,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),65
2007,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),38
2007,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1
2007,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),4
2008,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),14
2008,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),38
2008,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),109
2008,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),194
2008,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),143
2008,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),58
2008,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),219
2008,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2368
2008,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),70
2008,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),62
2008,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),18
2008,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),15
2008,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),0
2008,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),72
2009,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),12
2009,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),86
2009,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),42
2009,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),385
2009,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),509
2009,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),27
2009,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),221
2009,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2305
2009,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),116
2009,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),69
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),46
2009,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1
2009,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),4
2009,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),52
2010,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),19
2010,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),23
2010,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),141
2010,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),660
2010,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),432
2010,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),13
2010,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),226
2010,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2635
2010,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),118
2010,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),57
2010,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),56
2010,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),3
2010,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),1
2010,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),9
2011,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),25
2011,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),31
2011,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),83
2011,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),510
2011,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),393
2011,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),9
2011,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),389
2011,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1361
2011,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),29
2011,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),34
2011,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),44
2011,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),49
2011,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),15
2011,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),10
2012,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),27
2012,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),34
2012,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),56
2012,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),560
2012,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),535
2012,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),52
2012,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),419
2012,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),771
2012,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),143
2012,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),24
2012,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),45
2012,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),18
2012,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),42
2012,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),11
2013,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),9
2013,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),39
2013,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),201
2013,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),490
2013,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),189
2013,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),12
2013,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),498
2013,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),200
2013,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),299
2013,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),34
2013,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),63
2013,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),16
2013,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),30
2013,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),173
2014,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),25
2014,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),85
2014,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),442
2014,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),265
2014,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),125
2014,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),23
2014,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),206
2014,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),236
2014,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),25
2014,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),22
2014,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),32
2014,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),40
2014,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),20
2014,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),842
2015,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),14
2015,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),179
2015,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),405
2015,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),348
2015,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),1035
2015,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),20
2015,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),225
2015,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),7047
2015,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),43
2015,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),40
2015,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),22
2015,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),172
2015,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),40
2015,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),2558
2016,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),43
2016,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),267
2016,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),786
2016,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),373
2016,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),1261
2016,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),3
2016,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),418
2016,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2058
2016,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),38
2016,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),116
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),113
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),264
2016,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),77
2016,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),5738
2017,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),93
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),288
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),673
2017,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),722
2017,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),1437
2017,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),3
2017,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),515
2017,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1882
2017,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),14
2017,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),120
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),86
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),217
2017,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),741
2017,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),5696
2018,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),25
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),116
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),554
2018,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),512
2018,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2011
2018,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),76
2018,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),400
2018,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2108
2018,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),13
2018,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),49
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),116
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),235
2018,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),16
2018,Actual Spent,Prime Ministers Ministry,,Millions in Vatu (VUV),5044
2019,Actual Spent,Constitutional Agencies,,Millions in Vatu (VUV),31
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),175
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),882
2019,Actual Spent,Ministry of Education & Training,,Millions in Vatu (VUV),883
2019,Actual Spent,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),535
2019,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),28
2019,Actual Spent,Ministry of Health,,Millions in Vatu (VUV),392
2019,Actual Spent,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),4297
2019,Actual Spent,Ministry of Internal Affairs,,Millions in Vatu (VUV),86
2019,Actual Spent,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),22
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),176
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),278
2019,Actual Spent,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),13
