Year,Ministry,Department,Budget,Budget Type,Value
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Payroll,Original Budget     ,"13,707,331"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Actual Spent     ,"4,750,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Original Budget     ,"4,750,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Actual Spent     ,"8,656,006"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Original Budget     ,"7,994,430"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Payroll,Actual Spent     ,"16,468,866"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Payroll,Original Budget     ,"18,374,790"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Actual Spent     ,"4,925,421"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Original Budget     ,"7,000,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Payroll,Actual Spent     ,"4,441,367"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Payroll,Original Budget     ,"3,792,501"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Actual Spent     ,"64,531,701"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Original Budget     ,"56,395,000"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Actual Spent     ,"67,465,443"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Original Budget     ,"66,435,474"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Actual Spent     ,"5,863,890"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Original Budget     ,"6,950,000"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Actual Spent     ,"167,262,408"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Original Budget     ,"163,102,107"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Actual Spent     ,"30,306,914"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Original Budget     ,"39,330,000"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Actual Spent     ,"149,430,124"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Original Budget     ,"145,643,204"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Actual Spent     ,"4,683,279"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Original Budget     ,"6,600,000"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Actual Spent     ,"24,124,970"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Original Budget     ,"26,979,438"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Actual Spent     ,"3,470,834"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Operations,Original Budget     ,"12,320,000"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Actual Spent     ,"19,587,623"
2004,Ministry of Internal Affairs,Vanuatu Police Force,Payroll,Original Budget     ,"18,451,631"
2004,Ministry of Internal Affairs,Department of Immigration,Operations,Actual Spent     ,"3,494,975"
2004,Ministry of Internal Affairs,Department of Immigration,Operations,Original Budget     ,"2,597,126"
2004,Ministry of Internal Affairs,Department of Immigration,Payroll,Actual Spent     ,"23,482,295"
2004,Ministry of Internal Affairs,Department of Immigration,Payroll,Original Budget     ,"24,687,824"
2004,Ministry of Internal Affairs,Department of Labour,Operations,Actual Spent     ,"5,205,870"
2004,Ministry of Internal Affairs,Department of Labour,Operations,Original Budget     ,"5,430,800"
2004,Ministry of Internal Affairs,Department of Labour,Payroll,Actual Spent     ,"18,228,171"
2004,Ministry of Internal Affairs,Department of Labour,Payroll,Original Budget     ,"20,423,841"
2004,Ministry of Internal Affairs,Electoral Office,Operations,Actual Spent     ,"6,011,768"
2004,Ministry of Internal Affairs,Electoral Office,Operations,Original Budget     ,"7,300,000"
2004,Ministry of Internal Affairs,Electoral Office,Payroll,Actual Spent     ,"8,554,607"
2004,Ministry of Internal Affairs,Electoral Office,Payroll,Original Budget     ,"6,435,000"
2004,Ministry of Internal Affairs,Electoral Office,Operations,Actual Spent     ,"72,606,361"
2004,Ministry of Internal Affairs,Electoral Office,Operations,Original Budget     ,"34,000,000"
2004,Ministry of Internal Affairs,Electoral Office,Payroll,Actual Spent     ,"292,500"
2004,Ministry of Internal Affairs,Civil Registry Office,Operations,Actual Spent     ,"3,132,934"
2004,Ministry of Internal Affairs,Civil Registry Office,Operations,Original Budget     ,"3,297,422"
2004,Ministry of Internal Affairs,Civil Registry Office,Payroll,Actual Spent     ,"4,266,917"
2004,Ministry of Internal Affairs,Civil Registry Office,Payroll,Original Budget     ,"4,128,239"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Actual Spent     ,"3,605,492"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Original Budget     ,"3,153,000"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Actual Spent     ,"18,511,754"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Original Budget     ,"18,427,417"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Actual Spent     ,"245,859"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Original Budget     ,"200,000"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Actual Spent     ,"1,818,281"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Original Budget     ,"2,279,626"
2004,Ministry of Finance and Economic Management,National Statistics Office,Payroll,Actual Spent     ,"2,461,107"
2004,Ministry of Finance and Economic Management,National Statistics Office,Payroll,Original Budget     ,"2,467,112"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Actual Spent     ,"986,859"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Original Budget     ,"1,400,000"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Actual Spent     ,"2,235,065"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Original Budget     ,"2,886,259"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Actual Spent     ,"260,236"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Original Budget     ,"944,000"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Actual Spent     ,"3,878,774"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Original Budget     ,"6,436,437"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Operations,Actual Spent     ,"40,800"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Payroll,Actual Spent     ,"3,295,551"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Payroll,Original Budget     ,"4,444,040"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Actual Spent     ,"167,035"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Original Budget     ,"340,000"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Actual Spent     ,"2,891,737"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Original Budget     ,"2,725,045"
2004,Ministry of Finance and Economic Management,National Statistics Office,Operations,Actual Spent     ,"3,423,996"
2004,Ministry of Finance and Economic Management,National Statistics Office,Operations,Original Budget     ,"3,964,000"
2004,Ministry of Finance and Economic Management,National Statistics Office,Payroll,Actual Spent     ,"541,794"
2004,Ministry of Finance and Economic Management,National Statistics Office,Payroll,Original Budget     ,"2,305,018"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Actual Spent     ,"14,428,264"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Original Budget     ,"7,700,820"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Actual Spent     ,"5,361,495"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Original Budget     ,"4,918,044"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Actual Spent     ,"21,911,957"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Original Budget     ,"17,337,000"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Actual Spent     ,"4,519,687"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Original Budget     ,"3,503,315"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Operations,Actual Spent     ,"18,551,087"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Operations,Original Budget     ,"19,219,000"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Payroll,Actual Spent     ,"7,775,429"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Payroll,Original Budget     ,"6,648,427"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Actual Spent     ,"27,515,390"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Original Budget     ,"28,749,126"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Actual Spent     ,"15,881,787"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Original Budget     ,"22,142,424"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Operations,Actual Spent     ,"16,734,790"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Operations,Original Budget     ,"21,835,000"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Payroll,Actual Spent     ,"6,524,460"
2004,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Payroll,Original Budget     ,"7,999,310"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Actual Spent     ,"1,061,813"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Original Budget     ,"1,447,000"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Actual Spent     ,"4,059,877"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Original Budget     ,"3,887,173"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Actual Spent     ,"2,872,142"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Operations,Original Budget     ,"2,910,000"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Actual Spent     ,"7,374,752"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Payroll,Original Budget     ,"7,701,257"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Actual Spent     ,"2,455,766"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Operations,Original Budget     ,"3,611,000"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Actual Spent     ,"6,269,893"
2004,Ministry of Finance and Economic Management,MFEM Cabinet,Payroll,Original Budget     ,"7,180,967"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Actual Spent     ,"4,060,774"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Operations,Original Budget     ,"6,033,440"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Actual Spent     ,"31,085,338"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,Payroll,Original Budget     ,"31,607,092"
