Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2012,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),82.663821
2012,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),897.169487
2012,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),140.461769
2012,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),55.601298
2012,By Ministry,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),3.516855
2012,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),792.304622
2012,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3581.559898
2012,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),122.561157
2012,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),548.431495
2012,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),833.333172
2012,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),647.070987
2012,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),245.813773
2012,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),74.245995
2012,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),256.421411
2012,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),85.816771
2012,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),85.60482
2013,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),616.843761
2013,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),133.509581
2013,By Ministry,Actual,"Ministry of Civil Aviation, Meteorology and Postal Services",,,Value in Millions (VT),3.570544
2013,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),64.389933
2013,By Ministry,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),0.876169
2013,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),1081.352938
2013,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),3391.261101
2013,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),173.84745
2013,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),503.721371
2013,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),877.027792
2013,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),509.917268
2013,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),86.632453
2013,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),77.669196
2013,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),190.889694
2013,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),87.688571
2013,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),320.974346
2013,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),619.955655
2013,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),160.274026
2013,By Ministry,Budget,"Ministry of Civil Aviation, Meteorology and Postal Services",,,Value in Millions (VT),4.368499
2013,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),84.709787
2013,By Ministry,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),8.063262
