Year,Technology,Urban/Rural,Region,Unit of measurement,Value
2020,Laptpop,,Shefa,Total number technologies convey early warnings,1285.0
2020,Tablet,,Shefa,Total number technologies convey early warnings,1029.0
2020,Internet,,Shefa,Total number technologies convey early warnings,256.0
2020,Desktop,,Shefa,Total number technologies convey early warnings,68.0
2020,Landline,,Shefa,Total number technologies convey early warnings,63.0
2020,Satelite Phone,,Shefa,Total number technologies convey early warnings,29.0
2020,Cell Phone,,Tafea,Total number technologies convey early warnings,4004.0
2020,Laptpop,,Tafea,Total number technologies convey early warnings,393.0
2020,Tablet,,Tafea,Total number technologies convey early warnings,278.0
2020,Internet,,Tafea,Total number technologies convey early warnings,57.0
2020,Desktop,,Tafea,Total number technologies convey early warnings,11.0
2020,Landline,,Tafea,Total number technologies convey early warnings,6.0
2020,Satelite Phone,,Tafea,Total number technologies convey early warnings,23.0
