Year,Series,Region,TypeofSchool,Value
2020,Population3+currentlyattendinganeducationalinstitution,Tafea,Tertiary,79
2009,Population15+highestlevelofeducationcompleted,,,68270
2009,Population15+highestlevelofeducationcompleted,,Primary,39990
2009,Population15+highestlevelofeducationcompleted,,Juniorsecondary,15631
2009,Population15+highestlevelofeducationcompleted,,Seniorsecondary,10131
2009,Population15+highestlevelofeducationcompleted,,Tertiary,2518
2009,Population15+highestlevelofeducationcompleted,PortVila,,19107
2009,Population15+highestlevelofeducationcompleted,PortVila,Primary,7491
2009,Population15+highestlevelofeducationcompleted,PortVila,Juniorsecondary,5224
2009,Population15+highestlevelofeducationcompleted,PortVila,Seniorsecondary,5055
2009,Population15+highestlevelofeducationcompleted,PortVila,Tertiary,1337
2009,Population15+highestlevelofeducationcompleted,Luganvile,,4853
2009,Population15+highestlevelofeducationcompleted,Luganvile,Primary,2317
2009,Population15+highestlevelofeducationcompleted,Luganvile,Juniorsecondary,1310
2009,Population15+highestlevelofeducationcompleted,Luganvile,Seniorsecondary,1072
2009,Population15+highestlevelofeducationcompleted,Luganvile,Tertiary,154
2009,Population15+highestlevelofeducationcompleted,Torba,,1982
2009,Population15+highestlevelofeducationcompleted,Torba,Primary,1510
2009,Population15+highestlevelofeducationcompleted,Torba,Juniorsecondary,297
2009,Population15+highestlevelofeducationcompleted,Torba,Seniorsecondary,142
2009,Population15+highestlevelofeducationcompleted,Torba,Tertiary,33
2009,Population15+highestlevelofeducationcompleted,Sanma,,7383
2009,Population15+highestlevelofeducationcompleted,Sanma,Primary,5243
2009,Population15+highestlevelofeducationcompleted,Sanma,Juniorsecondary,1427
2009,Population15+highestlevelofeducationcompleted,Sanma,Seniorsecondary,602
2009,Population15+highestlevelofeducationcompleted,Sanma,Tertiary,111
2009,Population15+highestlevelofeducationcompleted,Penama,,7818
2009,Population15+highestlevelofeducationcompleted,Penama,Primary,5026
2009,Population15+highestlevelofeducationcompleted,Penama,Juniorsecondary,1959
2009,Population15+highestlevelofeducationcompleted,Penama,Seniorsecondary,678
2009,Population15+highestlevelofeducationcompleted,Penama,Tertiary,155
2009,Population15+highestlevelofeducationcompleted,Malampa,,11059
2009,Population15+highestlevelofeducationcompleted,Malampa,Primary,7950
2009,Population15+highestlevelofeducationcompleted,Malampa,Juniorsecondary,2031
2009,Population15+highestlevelofeducationcompleted,Malampa,Seniorsecondary,893
2009,Population15+highestlevelofeducationcompleted,Malampa,Tertiary,185
2009,Population15+highestlevelofeducationcompleted,Shefa,,11582
2009,Population15+highestlevelofeducationcompleted,Shefa,Primary,7662
2009,Population15+highestlevelofeducationcompleted,Shefa,Juniorsecondary,2342
2009,Population15+highestlevelofeducationcompleted,Shefa,Seniorsecondary,1136
2009,Population15+highestlevelofeducationcompleted,Shefa,Tertiary,442
2009,Population15+highestlevelofeducationcompleted,Tafea,,4486
2009,Population15+highestlevelofeducationcompleted,Tafea,Primary,2791
2009,Population15+highestlevelofeducationcompleted,Tafea,Juniorsecondary,1041
