Year,Ministry,Department,Program,Activity,Budget,Budget Type,Value
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Corporate Services Unit,Operations,Budget,6233099
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Corporate Services Unit,Operations,Original Budget,6233099
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Corporate Services Unit,Payroll,Actual,25704459
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Corporate Services Unit,Payroll,Budget,27409722
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Corporate Services Unit,Payroll,Original Budget,27409722
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Management,Operations,Actual,5349704
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Management,Operations,Budget,5026847
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Management,Operations,Original Budget,5026847
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Management,Payroll,Actual,8055921
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Management,Payroll,Budget,9282142
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Management,Payroll,Original Budget,9282142
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Performance Improvement,Operations,Actual,11365714
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Performance Improvement,Operations,Budget,10877719
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Performance Improvement,Operations,Original Budget,10877719
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Development,Operations,Actual,82960
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Development,Payroll,Actual,242936
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Development,Payroll,Budget,500000
2004,Constitutional Agencies,Public Service Commission,Public Service Commission,Human Resource Development,Payroll,Original Budget,500000
2004,Constitutional Agencies,Citizenship Office,Office of the Prime Minister,Citizenship Commission,Operations,Actual,1317023
2004,Constitutional Agencies,Citizenship Office,Office of the Prime Minister,Citizenship Commission,Operations,Budget,1147788
2004,Constitutional Agencies,Citizenship Office,Office of the Prime Minister,Citizenship Commission,Operations,Original Budget,1147788
2004,Constitutional Agencies,Citizenship Office,Office of the Prime Minister,Citizenship Commission,Payroll,Actual,1904364
2004,Constitutional Agencies,Citizenship Office,Office of the Prime Minister,Citizenship Commission,Payroll,Budget,2165605
2004,Constitutional Agencies,Citizenship Office,Office of the Prime Minister,Citizenship Commission,Payroll,Original Budget,2165605
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Strategic Management,Operations,Actual,2678002
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Strategic Management,Operations,Budget,1323612
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Strategic Management,Operations,Original Budget,1323612
