Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2009,Number of private households main roof material,Port Vila,,Metal,,,,8361
2009,Number of private households main roof material,Port Vila,,Others,,,,27
2009,Number of private households main roof material,Port Vila,,Traditional materials,,,,140
2009,Number of private households main roof material,Port Vila,,Wood,,,,77
2009,Number of private households main roof material,Luganville,,,,,,2552
2009,Number of private households main roof material,Luganville,,Concrete,,,,28
2009,Number of private households main roof material,Luganville,,Makeshift or improvised materials,,,,5
2009,Number of private households main roof material,Luganville,,Metal,,,,2187
2009,Number of private households main roof material,Luganville,,Others,,,,0
2009,Number of private households main roof material,Luganville,,Traditional materials,,,,296
2009,Number of private households main roof material,Luganville,,Wood,,,,36
2009,Number of private households main roof material,Torba,,,,,,1766
2009,Number of private households main roof material,Torba,,Concrete,,,,41
2009,Number of private households main roof material,Torba,,Makeshift or improvised materials,,,,6
2009,Number of private households main roof material,Torba,,Metal,,,,335
2009,Number of private households main roof material,Torba,,Others,,,,2
2009,Number of private households main roof material,Torba,,Traditional materials,,,,1379
2009,Number of private households main roof material,Torba,,Wood,,,,3
2009,Number of private households main roof material,Sanma,,,,,,6661
2009,Number of private households main roof material,Sanma,,Concrete,,,,189
2009,Number of private households main roof material,Sanma,,Makeshift or improvised materials,,,,72
2009,Number of private households main roof material,Sanma,,Metal,,,,1789
2009,Number of private households main roof material,Sanma,,Others,,,,39
2009,Number of private households main roof material,Sanma,,Traditional materials,,,,4448
2009,Number of private households main roof material,Sanma,,Wood,,,,124
2009,Number of private households main roof material,Penama,,,,,,6620
2009,Number of private households main roof material,Penama,,Concrete,,,,188
2009,Number of private households main roof material,Penama,,Makeshift or improvised materials,,,,149
2009,Number of private households main roof material,Penama,,Metal,,,,1904
2009,Number of private households main roof material,Penama,,Others,,,,66
2009,Number of private households main roof material,Penama,,Traditional materials,,,,4299
2009,Number of private households main roof material,Penama,,Wood,,,,14
2009,Number of private households main roof material,Malampa,,,,,,7991
2009,Number of private households main roof material,Malampa,,Concrete,,,,408
2009,Number of private households main roof material,Malampa,,Makeshift or improvised materials,,,,355
2009,Number of private households main roof material,Malampa,,Metal,,,,1475
2009,Number of private households main roof material,Malampa,,Others,,,,40
2009,Number of private households main roof material,Malampa,,Traditional materials,,,,5597
2009,Number of private households main roof material,Malampa,,Wood,,,,116
2009,Number of private households main roof material,Shefa,,,,,,6876
2009,Number of private households main roof material,Shefa,,Concrete,,,,122
2009,Number of private households main roof material,Shefa,,Makeshift or improvised materials,,,,105
2009,Number of private households main roof material,Shefa,,Metal,,,,5134
2009,Number of private households main roof material,Shefa,,Others,,,,36
2009,Number of private households main roof material,Shefa,,Traditional materials,,,,1439
2009,Number of private households main roof material,Shefa,,Wood,,,,40
2009,Number of private households main roof material,Tafea,,,,,,5853
2009,Number of private households main roof material,Tafea,,Concrete,,,,139
2009,Number of private households main roof material,Tafea,,Makeshift or improvised materials,,,,82
2009,Number of private households main roof material,Tafea,,Metal,,,,1621
2009,Number of private households main roof material,Tafea,,Others,,,,125
2009,Number of private households main roof material,Tafea,,Traditional materials,,,,3813
2009,Number of private households main roof material,Tafea,,Wood,,,,73
2020,Number of private households main roof material,,,,,,,63365
2020,Number of private households main roof material,,,Concrete,,,,1719
2020,Number of private households main roof material,,,Makeshift or improvised materials,,,,831
2020,Number of private households main roof material,,,Metal,,,,34677
2020,Number of private households main roof material,,,Others,,,,41
2020,Number of private households main roof material,,,Traditional materials,,,,25221
2020,Number of private households main roof material,,,Wood,,,,876
2020,Number of private households main roof material,Port Vila,,,,,,11118
2020,Number of private households main roof material,Port Vila,,Concrete,,,,453
