Year,Series,Island,Course,Value
2020,Certificate,Ambae,Hospitality,18
2020,Certificate,Tanna,Tourism,37
2020,Certificate,Tanna,Building Construction,17
2021,Bachelor,Efate,Education,243
2021,Certificate,Efate,Automotive Engineering,44
2021,Certificate,Efate,Building Construction,37
2021,Certificate,Efate,Climate Change,35
2021,Certificate,Efate,Electro-technology,36
2021,Certificate,Efate,Hospitality,8
2021,Certificate,Efate,"Joinery, Furniture and Cabinet Making",12
2021,Certificate,Efate,Tourism,51
2021,Certificate,Efate,Building Construction,75
2021,Certificate,Efate,Business,168
2021,Certificate,Efate,Computing,78
2021,Certificate,Efate,Fine Arts and Crafts,3
2021,Certificate,Efate,Hospitality,18
2021,Certificate,Efate,Mechanical Engineering,6
2021,Certificate,Efate,Plumbing,10
2021,Certificate,Efate,Tourism,8
2021,Certificate,Efate,Finance,276
2021,Certificate,Efate,Climate Change,24
2021,Certificate,Efate,Electrical Engineering,50
2021,Certificate,Efate,Information and Communication Technology,75
2021,Certificate,Efate,Mechanical Engineering,56
2021,Diploma,Efate,Midwifery,17
2021,Certificate,Santo,Agriculture,36
2021,Certificate,Santo,Automotive Engineering,69
2021,Certificate,Santo,Computing,67
2021,Certificate,Santo,Forestry,11
2021,Certificate,Santo,Hospitality,65
2021,Certificate,Santo,"Joinery, Furniture and Cabinet Making",5
2021,Certificate,Santo,Livestock,74
2021,Certificate,Santo,Agriculture,45
2021,Certificate,Santo,Computing,34
2021,Certificate,Santo,Forestry,27
2021,Certificate,Santo,Livestock,67
2021,Certificate,Santo,Computing,26
2021,Certificate,Ambae,Automotive Engineering,36
2021,Certificate,Ambae,Building Construction,25
2021,Certificate,Ambae,Hospitality,7
2021,Certificate,Ambae,Building Construction,20
2021,Certificate,Ambae,Plumbing,19
2021,Certificate,Malekula,Building Construction,39
2021,Certificate,Tanna,Tourism,11
2021,Certificate,Tanna,Building Construction,16
2022,Bachelor,Education,Efate,109
2022,Certificate,Automotive Engineering,Efate,20
2022,Certificate,Building Construction,Efate,48
2022,Certificate,Business,Efate,201
2022,Certificate,Climate Change,Efate,16
2022,Certificate,Electro-technology,Efate,21
2022,Certificate,Hospitality,Efate,84
2022,Certificate,Mechanical Engineering,Efate,13
2022,Certificate,Tourism,Efate,100
2022,Certificate,Building Construction,Efate,40
2022,Certificate,Computing,Efate,22
2022,Certificate,Hospitality,Efate,172
2022,Certificate,Tourism,Efate,114
2022,Certificate,Finance,Efate,202
2022,Certificate,Climate Change,Efate,22
2022,Certificate,Education,Efate,39
2022,Certificate,Electrical Engineering,Efate,53
2022,Certificate,Information and Communication Technology,Efate,78
2022,Certificate,Mechanical Engineering,Efate,30
2022,Diploma,Santo,Information and Communication Technology,24
2022,Certificate,Santo,Computing,87
2022,Certificate,Automotive Engineering,Ambae,26
2022,Certificate,Building Construction,Ambae,57
2022,Certificate,Hospitality,Ambae,23
2022,Certificate,Tanna,Building Construction,23
