Year,Major Industry,Minor Industry,Value
2018,"Agriculture, forestry and fishing",,20.0
2018,"Arts, entertainment and recreation",,78.0
2018,Construction,,255.0
2018,Education,,40.0
2018,"Electricity, gas, steam and air conditioning supply",,6.0
2018,Financial and insurance activities,,128.0
2018,Human health and social work activities,,53.0
2018,Information and communication,,56.0
2018,Manufacturing,,245.0
2018,Mining and quarrying,,18.0
2018,Other service activities,,88.0
2018,"Professional, scientific and technical activities",,429.0
2018,Public administration and defence; compulsory social security,,1.0
2018,Real estate activities,,102.0
2018,Transportation and storage,,794.0
2018,"Water supply; sewerage, waste management and remediation activities",,10.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,,1299.0
2019,,,4615.0
2019,Accommodation and food service activities,,569.0
2019,Administrative and support service activities,,320.0
2019,"Agriculture, forestry and fishing",,20.0
2019,"Arts, entertainment and recreation",,70.0
2019,Construction,,288.0
2019,Education,,50.0
2019,"Electricity, gas, steam and air conditioning supply",,6.0
2019,Financial and insurance activities,,117.0
2019,Human health and social work activities,,66.0
2019,Information and communication,,71.0
2019,Manufacturing,,253.0
2019,Mining and quarrying,,21.0
2019,Other service activities,,77.0
2019,"Professional, scientific and technical activities",,447.0
2019,Public administration and defence; compulsory social security,,3.0
2019,Real estate activities,,126.0
2019,Transportation and storage,,733.0
2019,"Water supply; sewerage, waste management and remediation activities",,11.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,,1367.0
2020,,,4613.0
2020,Accommodation and food service activities,,541.0
2020,Administrative and support service activities,,282.0
2020,"Agriculture, forestry and fishing",,17.0
2020,"Arts, entertainment and recreation",,64.0
2020,Construction,,349.0
2020,Education,,56.0
2020,"Electricity, gas, steam and air conditioning supply",,11.0
2020,Financial and insurance activities,,120.0
2020,Human health and social work activities,,57.0
2020,Information and communication,,68.0
2020,Manufacturing,,266.0
2020,Mining and quarrying,,22.0
2020,Other service activities,,78.0
2020,"Professional, scientific and technical activities",,499.0
2020,Public administration and defence; compulsory social security,,4.0
2020,Real estate activities,,123.0
2020,Transportation and storage,,634.0
2020,"Water supply; sewerage, waste management and remediation activities",,10.0
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,,1412.0
2021,,,2500.0
2021,Accommodation and food service activities,,209.0
2021,Administrative and support service activities,,119.0
2021,"Agriculture, forestry and fishing",,10.0
2021,"Arts, entertainment and recreation",,22.0
2021,Construction,,221.0
2021,Education,,40.0
2021,"Electricity, gas, steam and air conditioning supply",,6.0
2021,Financial and insurance activities,,133.0
2021,Human health and social work activities,,32.0
2021,Information and communication,,52.0
2021,Manufacturing,,135.0
2021,Mining and quarrying,,8.0
2021,Other service activities,,35.0
2021,"Professional, scientific and technical activities",,302.0
2021,Public administration and defence; compulsory social security,,
2021,Real estate activities,,61.0
2021,Transportation and storage,,368.0
2021,"Water supply; sewerage, waste management and remediation activities",,5.0
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,,742.0
2022,,,13561.0
2022,Accommodation and food service activities,,1756.0
2022,Administrative and support service activities,,311.0
2022,"Agriculture, forestry and fishing",,155.0
2022,"Arts, entertainment and recreation",,90.0
2022,Construction,,549.0
2022,Education,,62.0
2022,"Electricity, gas, steam and air conditioning supply",,12.0
2022,Financial and insurance activities,,247.0
2022,Human health and social work activities,,67.0
2022,Information and communication,,62.0
2022,Manufacturing,,893.0
2022,Mining and quarrying,,22.0
2022,Other service activities,,90.0
2022,"Professional, scientific and technical activities",,568.0
2022,Real estate activities,,303.0
2022,Transportation and storage,,1975.0
2022,"Water supply; sewerage, waste management and remediation activities",,28.0
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,,6174.0
2022,,,197.0
2023,,,12955.0
2023,Accommodation and food service activities,,1350.0
2023,Administrative and support service activities,,502.0
2023,"Agriculture, forestry and fishing",,212.0
2023,"Arts, entertainment and recreation",,113.0
2023,Construction,,620.0
2023,Education,,58.0
2023,"Electricity, gas, steam and air conditioning supply",,10.0
2023,Financial and insurance activities,,256.0
2023,Human health and social work activities,,89.0
2023,Information and communication,,122.0
2023,Manufacturing,,832.0
2023,Mining and quarrying,,25.0
2023,Other service activities,,155.0
2023,"Professional, scientific and technical activities",,655.0
2023,Real estate activities,,294.0
2023,Transportation and storage,,2491.0
2023,"Water supply; sewerage, waste management and remediation activities",,31.0
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,,5028.0
2023,,,112.0
2015,,,3716.0
2015,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",32.0
2015,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",23.0
2015,Financial and insurance activities,Activities auxiliary to insurance and pension funding,15.0
2015,Other service activities,"Activities of business, employers and professional membership organizations",1.0
2015,Administrative and support service activities,Activities of call centres,
2015,Administrative and support service activities,Activities of employment placement agencies,
2015,"Professional, scientific and technical activities",Activities of head offices,19.0
2015,"Professional, scientific and technical activities",Advertising,13.0
2015,"Agriculture, forestry and fishing",Animal production,5.0
2015,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,29.0
2015,Accommodation and food service activities,Beverage serving activities,110.0
2015,Construction,Building completion and finishing,2.0
2015,Manufacturing,Building of ships and boats,2.0
2015,Administrative and support service activities,Business support service activities n.e.c.,13.0
2015,Manufacturing,Casting of metals,1.0
2015,Administrative and support service activities,Cleaning activities,11.0
2015,Information and communication,"Computer programming, consultancy and related activities",5.0
2015,Construction,Construction of buildings,144.0
2015,Construction,Construction of other civil engineering projects,3.0
2015,Construction,Construction of roads and railways,10.0
2015,Construction,Construction of utility projects,2.0
2015,Transportation and storage,Courier activities,2.0
2015,"Arts, entertainment and recreation","Creative, arts and entertainment activities",7.0
2015,Information and communication,"Data processing, hosting and related activities; web portals",2.0
2015,Construction,Demolition and site preparation,4.0
2015,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",4.0
2015,Construction,"Electrical, plumbing and other construction installation activities",42.0
2015,Accommodation and food service activities,Event catering and other food service activities,6.0
2015,"Agriculture, forestry and fishing",Fishing,1.0
2015,"Arts, entertainment and recreation",Gambling and betting activities,
2015,"Agriculture, forestry and fishing",Growing of non-perennial crops,
2015,"Agriculture, forestry and fishing",Growing of perennial crops,
2015,Education,Higher education,4.0
2015,Human health and social work activities,Hospital activities,1.0
2015,Transportation and storage,Inland water transport,
2015,Administrative and support service activities,Landscape care and maintenance service activities,3.0
2015,"Professional, scientific and technical activities",Legal activities,30.0
2015,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2015,"Agriculture, forestry and fishing",Logging,2.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,62.0
2015,"Professional, scientific and technical activities",Management consultancy activities,79.0
2015,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",3.0
2015,Manufacturing,Manufacture of basic iron and steel,6.0
2015,Manufacturing,Manufacture of beverages,15.0
2015,Manufacturing,Manufacture of dairy products,2.0
2015,Manufacturing,Manufacture of furniture,3.0
2015,Manufacturing,Manufacture of general-purpose machinery,1.0
2015,Manufacturing,Manufacture of knitted and crocheted apparel,1.0
2015,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,7.0
2015,Manufacturing,Manufacture of other chemical products,10.0
2015,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2015,Manufacturing,Manufacture of other food products,38.0
2015,Manufacturing,Manufacture of paper and paper products,2.0
2015,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",15.0
2015,Manufacturing,Manufacture of plastics products,
2015,Manufacturing,Manufacture of prepared animal feeds,
2015,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",18.0
2015,Manufacturing,Manufacture of refined petroleum products,
2015,Manufacturing,Manufacture of rubber products,2.0
2015,Manufacturing,Manufacture of sports goods,
2015,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",6.0
2015,Manufacturing,Manufacture of vegetable and animal oils and fats,7.0
2015,Manufacturing,"Manufacture of wearing apparel, except fur apparel",12.0
2015,Human health and social work activities,Medical and dental practice activities,17.0
2015,Mining and quarrying,Mining and quarrying n.e.c.,1.0
2015,"Agriculture, forestry and fishing",Mixed farming,1.0
2015,Financial and insurance activities,Monetary intermediation,4.0
2015,Information and communication,"Motion picture, video and television programme activities",2.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,3.0
2015,Administrative and support service activities,Office administrative and support activities,14.0
2015,Administrative and support service activities,Organization of conventions and trade shows,2.0
2015,"Arts, entertainment and recreation",Other amusement and recreation activities,38.0
2015,Education,Other education,21.0
2015,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",40.0
2015,Human health and social work activities,Other human health activities,28.0
2015,Transportation and storage,Other land transport,565.0
2015,Manufacturing,Other manufacturing n.e.c.,7.0
2015,Other service activities,Other personal service activities,32.0
2015,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",113.0
2015,Administrative and support service activities,Other reservation service and related activities,4.0
2015,Construction,Other specialized construction activities,25.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,18.0
2015,Information and communication,Other telecommunications activities,10.0
2015,Transportation and storage,Passenger air transport,10.0
2015,"Professional, scientific and technical activities",Photographic activities,15.0
2015,"Agriculture, forestry and fishing",Plant propagation,
2015,Transportation and storage,Postal activities,3.0
2015,Education,Pre-primary and primary education,13.0
2015,Manufacturing,Printing and service activities related to printing,18.0
2015,Administrative and support service activities,Private security activities,32.0
2015,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2015,Manufacturing,Processing and preserving of fruit and vegetables,
2015,Manufacturing,Processing and preserving of meat,1.0
2015,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2015,Information and communication,"Publishing of books, periodicals and other publishing activities",6.0
2015,Mining and quarrying,"Quarrying of stone, sand and clay",10.0
2015,Information and communication,Radio broadcasting,2.0
2015,Real estate activities,Real estate activities on a fee or contract basis,56.0
2015,Real estate activities,Real estate activities with own or leased property,11.0
2015,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,5.0
2015,Administrative and support service activities,Renting and leasing of motor vehicles,27.0
2015,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",47.0
2015,Administrative and support service activities,Renting and leasing of personal and household goods,4.0
2015,Other service activities,Repair of computers and communication equipment,16.0
2015,Manufacturing,"Repair of fabricated metal products, machinery and equipment",44.0
2015,Other service activities,Repair of personal and household goods,12.0
2015,Information and communication,Reproduction of recorded media,
2015,Accommodation and food service activities,Restaurants and mobile food service activities,251.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,550.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,19.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,14.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",24.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,18.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,199.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,49.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,4.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",4.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,14.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,10.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",13.0
2015,Information and communication,Satellite telecommunications activities,8.0
2015,Manufacturing,Sawmilling and planing of wood,2.0
2015,Transportation and storage,Sea and coastal water transport,39.0
2015,Education,Secondary education,
2015,Administrative and support service activities,Security systems service activities,
2015,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2015,Accommodation and food service activities,Short term accommodation activities,110.0
2015,"Agriculture, forestry and fishing",Silviculture and other forestry activities,1.0
2015,Information and communication,Sound recording and music publishing activities,3.0
2015,"Professional, scientific and technical activities",Specialized design activities,5.0
2015,Manufacturing,"Spinning, weaving and finishing of textiles",
2015,"Arts, entertainment and recreation",Sports activities,15.0
2015,Transportation and storage,Support activities for transportation,140.0
2015,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,
2015,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1.0
2015,Information and communication,Television programming and broadcasting activities,4.0
2015,Administrative and support service activities,Travel agency and tour operator activities,52.0
2015,Financial and insurance activities,"Trusts, funds and similar financial entities",4.0
2015,"Professional, scientific and technical activities",Veterinary activities,2.0
2015,Transportation and storage,Warehousing and storage,11.0
2015,"Water supply; sewerage, waste management and remediation activities",Waste collection,3.0
2015,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2015,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",3.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,6.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",1.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,10.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3.0
2015,Information and communication,Wired telecommunications activities,1.0
2015,Information and communication,Wireless telecommunications activities,9.0
2016,,,4083.0
2016,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",30.0
2016,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",18.0
2016,Financial and insurance activities,Activities auxiliary to insurance and pension funding,16.0
2016,Other service activities,"Activities of business, employers and professional membership organizations",1.0
2016,Administrative and support service activities,Activities of call centres,
2016,Administrative and support service activities,Activities of employment placement agencies,6.0
2016,"Professional, scientific and technical activities",Activities of head offices,17.0
2016,"Professional, scientific and technical activities",Advertising,15.0
2016,"Agriculture, forestry and fishing",Animal production,9.0
2016,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,36.0
2016,Accommodation and food service activities,Beverage serving activities,84.0
2016,Construction,Building completion and finishing,2.0
2016,Manufacturing,Building of ships and boats,2.0
2016,Administrative and support service activities,Business support service activities n.e.c.,11.0
2016,Manufacturing,Casting of metals,1.0
2016,Administrative and support service activities,Cleaning activities,19.0
2016,Information and communication,"Computer programming, consultancy and related activities",7.0
2016,Construction,Construction of buildings,164.0
2016,Construction,Construction of other civil engineering projects,6.0
2016,Construction,Construction of roads and railways,13.0
2016,Construction,Construction of utility projects,2.0
2016,Transportation and storage,Courier activities,3.0
2016,"Arts, entertainment and recreation","Creative, arts and entertainment activities",7.0
2016,Information and communication,"Data processing, hosting and related activities; web portals",2.0
2016,Construction,Demolition and site preparation,5.0
2016,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",8.0
2016,Construction,"Electrical, plumbing and other construction installation activities",44.0
2016,Accommodation and food service activities,Event catering and other food service activities,12.0
2016,"Agriculture, forestry and fishing",Fishing,4.0
2016,"Arts, entertainment and recreation",Gambling and betting activities,1.0
2016,"Agriculture, forestry and fishing",Growing of non-perennial crops,1.0
2016,"Agriculture, forestry and fishing",Growing of perennial crops,
2016,Education,Higher education,5.0
2016,Human health and social work activities,Hospital activities,1.0
2016,Transportation and storage,Inland water transport,
2016,Administrative and support service activities,Landscape care and maintenance service activities,9.0
2016,"Professional, scientific and technical activities",Legal activities,25.0
2016,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2016,"Agriculture, forestry and fishing",Logging,4.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,73.0
2016,"Professional, scientific and technical activities",Management consultancy activities,82.0
2016,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2016,Manufacturing,Manufacture of basic iron and steel,6.0
2016,Manufacturing,Manufacture of beverages,12.0
2016,Manufacturing,Manufacture of dairy products,1.0
2016,Manufacturing,Manufacture of furniture,2.0
2016,Manufacturing,Manufacture of general-purpose machinery,1.0
2016,Manufacturing,Manufacture of knitted and crocheted apparel,1.0
2016,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,7.0
2016,Manufacturing,Manufacture of other chemical products,13.0
2016,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2016,Manufacturing,Manufacture of other food products,33.0
2016,Manufacturing,Manufacture of paper and paper products,4.0
2016,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",15.0
2016,Manufacturing,Manufacture of plastics products,1.0
2016,Manufacturing,Manufacture of prepared animal feeds,
2016,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",20.0
2016,Manufacturing,Manufacture of refined petroleum products,1.0
2016,Manufacturing,Manufacture of rubber products,2.0
2016,Manufacturing,Manufacture of sports goods,
2016,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",5.0
2016,Manufacturing,Manufacture of vegetable and animal oils and fats,5.0
2016,Manufacturing,"Manufacture of wearing apparel, except fur apparel",12.0
2016,Human health and social work activities,Medical and dental practice activities,22.0
2016,Mining and quarrying,Mining and quarrying n.e.c.,2.0
2016,"Agriculture, forestry and fishing",Mixed farming,3.0
2016,Financial and insurance activities,Monetary intermediation,5.0
2016,Information and communication,"Motion picture, video and television programme activities",1.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,3.0
2016,Administrative and support service activities,Office administrative and support activities,13.0
2016,Administrative and support service activities,Organization of conventions and trade shows,5.0
2016,"Arts, entertainment and recreation",Other amusement and recreation activities,45.0
2016,Education,Other education,20.0
2016,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",57.0
2016,Human health and social work activities,Other human health activities,29.0
2016,Transportation and storage,Other land transport,633.0
2016,Manufacturing,Other manufacturing n.e.c.,5.0
2016,Other service activities,Other personal service activities,30.0
2016,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",124.0
2016,Administrative and support service activities,Other reservation service and related activities,2.0
2016,Construction,Other specialized construction activities,21.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,17.0
2016,Information and communication,Other telecommunications activities,11.0
2016,Transportation and storage,Passenger air transport,10.0
2016,"Professional, scientific and technical activities",Photographic activities,19.0
2016,"Agriculture, forestry and fishing",Plant propagation,
2016,Transportation and storage,Postal activities,5.0
2016,Education,Pre-primary and primary education,12.0
2016,Manufacturing,Printing and service activities related to printing,16.0
2016,Administrative and support service activities,Private security activities,35.0
2016,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2016,Manufacturing,Processing and preserving of fruit and vegetables,1.0
2016,Manufacturing,Processing and preserving of meat,1.0
2016,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2016,Information and communication,"Publishing of books, periodicals and other publishing activities",5.0
2016,Mining and quarrying,"Quarrying of stone, sand and clay",6.0
2016,Information and communication,Radio broadcasting,2.0
2016,Real estate activities,Real estate activities on a fee or contract basis,73.0
2016,Real estate activities,Real estate activities with own or leased property,8.0
2016,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,4.0
2016,Administrative and support service activities,Renting and leasing of motor vehicles,31.0
2016,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",46.0
2016,Administrative and support service activities,Renting and leasing of personal and household goods,4.0
2016,Other service activities,Repair of computers and communication equipment,18.0
2016,Manufacturing,"Repair of fabricated metal products, machinery and equipment",48.0
2016,Other service activities,Repair of personal and household goods,13.0
2016,Information and communication,Reproduction of recorded media,
2016,Accommodation and food service activities,Restaurants and mobile food service activities,331.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,552.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,21.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,12.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",24.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,16.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,281.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,51.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,3.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",5.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,19.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,12.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",10.0
2016,Information and communication,Satellite telecommunications activities,8.0
2016,Manufacturing,Sawmilling and planing of wood,4.0
2016,Transportation and storage,Sea and coastal water transport,52.0
2016,Education,Secondary education,
2016,Administrative and support service activities,Security systems service activities,
2016,"Water supply; sewerage, waste management and remediation activities",Sewerage,1.0
2016,Accommodation and food service activities,Short term accommodation activities,126.0
2016,"Agriculture, forestry and fishing",Silviculture and other forestry activities,1.0
2016,Information and communication,Sound recording and music publishing activities,1.0
2016,"Professional, scientific and technical activities",Specialized design activities,6.0
2016,Manufacturing,"Spinning, weaving and finishing of textiles",
2016,"Arts, entertainment and recreation",Sports activities,14.0
2016,Transportation and storage,Support activities for transportation,120.0
2016,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,
2016,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1.0
2016,Information and communication,Television programming and broadcasting activities,5.0
2016,Administrative and support service activities,Travel agency and tour operator activities,55.0
2016,Financial and insurance activities,"Trusts, funds and similar financial entities",4.0
2016,"Professional, scientific and technical activities",Veterinary activities,3.0
2016,Transportation and storage,Warehousing and storage,9.0
2016,"Water supply; sewerage, waste management and remediation activities",Waste collection,3.0
2016,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2016,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",4.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,5.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",3.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,14.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3.0
2016,Information and communication,Wired telecommunications activities,2.0
2016,Information and communication,Wireless telecommunications activities,10.0
2017,,,4357.0
2017,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",32.0
2017,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",17.0
2017,Financial and insurance activities,Activities auxiliary to insurance and pension funding,16.0
2017,Other service activities,"Activities of business, employers and professional membership organizations",1.0
2017,Administrative and support service activities,Activities of call centres,
2017,Administrative and support service activities,Activities of employment placement agencies,2.0
2017,"Professional, scientific and technical activities",Activities of head offices,26.0
2017,"Professional, scientific and technical activities",Advertising,16.0
2017,"Agriculture, forestry and fishing",Animal production,9.0
2017,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,35.0
2017,Accommodation and food service activities,Beverage serving activities,81.0
2017,Construction,Building completion and finishing,2.0
2017,Manufacturing,Building of ships and boats,3.0
2017,Administrative and support service activities,Business support service activities n.e.c.,11.0
2017,Manufacturing,Casting of metals,
2017,Administrative and support service activities,Cleaning activities,21.0
2017,Information and communication,"Computer programming, consultancy and related activities",7.0
2017,Construction,Construction of buildings,180.0
2017,Construction,Construction of other civil engineering projects,3.0
2017,Construction,Construction of roads and railways,15.0
2017,Construction,Construction of utility projects,2.0
2017,Transportation and storage,Courier activities,2.0
2017,"Arts, entertainment and recreation","Creative, arts and entertainment activities",9.0
2017,Information and communication,"Data processing, hosting and related activities; web portals",2.0
2017,Construction,Demolition and site preparation,4.0
2017,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",7.0
2017,Construction,"Electrical, plumbing and other construction installation activities",55.0
2017,Accommodation and food service activities,Event catering and other food service activities,15.0
2017,"Agriculture, forestry and fishing",Fishing,3.0
2017,"Arts, entertainment and recreation",Gambling and betting activities,1.0
2017,"Agriculture, forestry and fishing",Growing of non-perennial crops,2.0
2017,"Agriculture, forestry and fishing",Growing of perennial crops,1.0
2017,Education,Higher education,6.0
2017,Human health and social work activities,Hospital activities,1.0
2017,Transportation and storage,Inland water transport,
2017,Administrative and support service activities,Landscape care and maintenance service activities,11.0
2017,"Professional, scientific and technical activities",Legal activities,33.0
2017,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2017,"Agriculture, forestry and fishing",Logging,4.0
